Symbol,EntryTimestampMarket,ExitTimestampMarket,Shares,EntryPrice,ExitPrice,PnL,TaxReserved,ExitReason,ResultR
BTE,2024-03-18T15:15:00-04:00,2024-03-19T09:45:00-04:00,171,3.36752375,3.45008384,14.11777556,4.52607663,ATR_TARGET,1.93917752
BEKE,2024-03-19T09:45:00-04:00,2024-03-20T09:30:00-04:00,40,14.32073250,14.10941000,-8.45290000,-3.12757300,STOP_GAP,-1.09706487
CLOV,2024-03-20T10:30:00-04:00,2024-03-20T15:30:00-04:00,683,0.84573382,0.88755671,28.56503162,10.56906170,ATR_TARGET,1.96864288
BTE,2024-03-20T13:15:00-04:00,2024-03-21T09:30:00-04:00,167,3.47660550,3.57732559,16.82025516,6.22349441,ATR_TARGET,1.94806817
NXE,2024-03-20T14:15:00-04:00,2024-03-21T09:30:00-04:00,14,7.46559500,7.70726342,3.38335781,1.25184239,ATR_TARGET,1.95324541
BTE,2024-03-21T09:45:00-04:00,2024-03-21T11:00:00-04:00,167,3.58268500,3.50838156,-12.40867508,-4.59120978,ATR_STOP,-1.03674138
BEKE,2024-03-21T09:45:00-04:00,2024-03-21T11:45:00-04:00,41,14.34074750,14.13564346,-8.40926549,-3.11142823,ATR_STOP,-1.05455012
CLOV,2024-03-21T14:15:00-04:00,2024-03-22T09:30:00-04:00,1,0.88636428,0.85905522,-0.02730905,-0.01010435,STOP_GAP,-1.26412076
MVST,2024-03-21T09:45:00-04:00,2024-03-22T09:30:00-04:00,146,0.75056250,0.70937575,-6.01326521,-2.22490813,ATR_STOP,-1.01309655
CCJ,2024-03-22T09:45:00-04:00,2024-03-22T10:45:00-04:00,2,43.07228000,42.45433779,-1.23588443,-0.45727724,ATR_STOP,-1.05436934
GDS,2024-03-22T10:00:00-04:00,2024-03-22T15:00:00-04:00,2,8.55841400,8.66339891,0.20996983,0.07768884,ATR_STOP,0.38766470
